BART_ParaCOMET/test.hypo | BART/test.hypo
699 | 910
704 | 915
705 | 916
716 | 927
718 | 929
724 | 935
733 | 944
734 | 945
737 | 948
746 | 957
753 | 964
754 | 965
764 | 975
774 | 985
776 | 987
785 | 996
794 | 1005
807 | 1018
809 | 1020
819 | 1030
824 | 1035
830 | 1041
832 | 1043
839 | 1050
841 | 1052
846 | 1057
861 | 1072
862 | 1073
877 | 1088
888 | 1099
898 | 1109
901 | 1112
904 | 1115
913 | 1124
930 | 1141
938 | 1149
950 | 1161
953 | 1164
965 | 1176
969 | 1180
978 | 1189
1000 | 1211
1003 | 1214
1009 | 1220
1012 | 1223
1013 | 1224
1029 | 1240
1053 | 1264
1076 | 1287
1080 | 1291
1139 | 1350
1259 | 1470
